Symbol,Company Name,Industry,Market Cap
CCEP,Coca-Cola Europacific Partners,Beverages,26.76B
CCF,Chase,Chemicals,899.80M
CCI,Crown Castle International,"Equity Real Estate 
Investment Trusts...",78.77B
CCJ,Cameco,"Oil, Gas &amp; Consumable Fuels",8.08B
CCK,Crown Holdings,Containers &amp; Packaging,14.40B
CCL,Carnival,"Hotels, Restaurants &amp; Leisure",23.30B
CCLP,CSI Compressco LP,Energy Equipment &amp; Services,204.97M
CCM,Concord Medical Services Holding,Health Care Providers &amp; Services,90.74M
CCMP,CMC Materials,Semiconductors &amp; Semiconductor Equipment,5.14B
CCNC,Code Chain New Continent,Coking Coal,45.16M
CCNE,CNB Financial,Banks,446.47M
CCO,Clear Channel Outdoor Holdings,Media,1.45B
CCOI,Cogent Communications Holdings,Diversified Telecommunication Services,2.91B
CCRD,CoreCard,Software,310.41M
CCRN,Cross Country Healthcare,Health Care Providers &amp; Services,664.68M
CCS,Century Communities,Household Durables,2.19B
CCSI,Consensus Cloud Solutions,Software-Infrastructure,1.13B
CCTS,Cactus Acquisition 1,Blank Check / SPAC,132.71M
CCU,"Compania Cervecerias Unidas,",Beverages,3.26B
CCV,Churchill Capital Corp V,Blank Check / SPAC,610.63M
CCVI,Churchill Capital VI,Blank Check / SPAC,672.06M
CCXI,ChemoCentryx,Biotechnology,1.75B
CD,Chindata Group Holdings,Information Technology Services,1.65B
CDAK,Codiak BioSciences,Biotechnology,151.42M
CDAQ,Compass Digital Acquisition,Blank Check / SPAC,241.25M
CDAY,Ceridian HCM Holding,Software,11.55B
CDE,Coeur Mining,Metals &amp; Mining,1.31B
CDEV,Centennial Resource Development,"Oil, Gas &amp; Consumable Fuels",2.06B
CDK,CDK Global,Software,5.06B
CDLX,Cardlytics,Media,2.05B
CDMO,Avid Bioservices,Biotechnology,1.12B
CDNA,CareDx,Biotechnology,1.96B
CDNS,Cadence Design Systems,Software,41.10B
CDR,Cedar Realty Trust,"Equity Real Estate 
Investment Trusts...",330.04M
CDRE,Cadre Holdings,Aerospace &amp; Defense,660.96M
CDRO, Codere Online Luxembourg,Gambling,108.93M
CDTX,Cidara Therapeutics,Biotechnology,55.15M
CDW,CDW Corporation,"Electronic Equipment, Instruments &amp; C...",25.06B
CDXC,ChromaDex,Life Sciences Tools &amp; Services,188.48M
CDXS,Codexis,Life Sciences Tools &amp; Services,1.29B
CDZI,Cadiz,Water Utilities,132.28M
CE,Celanese,Chemicals,17.49B
CEA,China Eastern Airlines,Airlines,14.16B
CECE,CECO Environmental,Commercial Services &amp; Supplies,232.40M
CEI,Camber Energy,"Oil, Gas &amp; Consumable Fuels",137.88M
CEIX,CONSOL Energy,"Oil, Gas &amp; Consumable Fuels",708.91M
CELC,Celcuity,Biotechnology,164.11M
CELH,Celsius Holdings,Beverages,3.29B
CELP,Cypress Environmental Partners,Energy Equipment &amp; Services,11.85M
CELU,Celularity,Biotechnology,533.36M
CELZ,Creative Medical Technology Holdings,Biotechnology,16.01M
CEMI,Chembio Diagnostics,Health Care Equipment &amp; Supplies,27.94M
CENN,Cenntro Electric Group,Auto Manufacturers,574.76M
CENQ,CENAQ Energy,Blank Check / SPAC,216.22M
CENT,Central Garden &amp; Pet Company,Household Products,2.36B
CENTA,Central Garden &amp; Pet Company,Household Products,2.36B
CENX,Century Aluminum Company,Metals &amp; Mining,1.43B
CEPU,Central Puerto,Independent Power and Renewable Elect...,440.92M
CEQP,Crestwood Equity Partners LP,"Oil, Gas &amp; Consumable Fuels",1.76B
CERE,Cerevel Therapeutics Holdings,Biotechnology,3.72B
CERN,Cerner,Health Care Technology,26.80B
CERS,Cerus,Health Care Equipment &amp; Supplies,895.78M
CERT,Certara,Biotechnology,4.08B
CET,Central Securities,Asset Management,1.05B
CETX,Cemtrex,"Electronic Equipment, Instruments &amp; C...",15.00M
CEVA,"CEVA, Inc.",Semiconductors &amp; Semiconductor Equipment,837.86M
CF,CF Industries Holdings,Chemicals,14.16B
CFB,CrossFirst Bankshares,Banks,765.82M
CFBK,CF Bankshares,Thrifts &amp; Mortgage Finance,132.88M
CFFE,CF Acquisition VIII,Blank Check / SPAC,316.63M
CFFI,C&amp;F Financial,Banks,189.32M
CFFN,Capitol Federal Financial,Thrifts &amp; Mortgage Finance,1.60B
CFG,Citizens Financial Group,Banks,21.57B
CFIV,CF Acquisition IV,Blank Check / SPAC,619.12M
CFLT,Confluent,Software-Infrastructure,15.84B
CFMS,Conformis,Health Care Equipment &amp; Supplies,144.78M
CFR,Cullen/Frost Bankers,Banks,8.39B
CFRX,ContraFect,Biotechnology,92.83M
CFSB,CFSB Bancorp,Banks-Regional,67.89M
CFV,CF Acquisition V,Blank Check / SPAC,392.71M
CFVI,CF Acquisition VI,Blank Check / SPAC,453.05M
CFX,Colfax,Machinery,6.63B
CG,The Carlyle Group,Capital Markets,17.50B
CGA,China Green Agriculture,Chemicals,77.41M
CGAU,Centerra Gold,Gold,2.42B
CGBD,TCG BDC,Capital Markets,733.08M
CGC,Canopy Growth,Pharmaceuticals,2.88B
CGEM,Cullinan Oncology,Biotechnology,539.94M
CGEN,Compugen,Life Sciences Tools &amp; Services,327.33M
CGNT,Cognyte Software,Software-Infrastructure,773.97M
CGNX,Cognex,"Electronic Equipment, Instruments &amp; C...",11.68B
CGRN,Capstone Green Energy,Specialty Industrial Machinery,48.12M
CGTX,Cognition Therapeutics,Biotechnology,77.13M
CHAA,Catcha Investment,Blank Check / SPAC,364.69M
CHCI,Comstock Holding Companies,Household Durables,39.19M
CHCO,City Holding Company,Banks,1.21B
CHCT,Community Healthcare Trust,"Equity Real Estate 
Investment Trusts...",1.11B
CHD,Church &amp; Dwight Company,Household Products,25.85B
CHDN,Churchill Downs,"Hotels, Restaurants &amp; Leisure",7.78B
CHE,Chemed,Health Care Providers &amp; Services,7.24B
CHEF,The Chefs' Warehouse,Food &amp; Staples Retailing,1.16B
CHEK,Check-Cap,Health Care Equipment &amp; Supplies,51.87M
CHGG,Chegg,Diversified Consumer Services,3.80B
CHH,Choice Hotels International,"Hotels, Restaurants &amp; Leisure",7.78B
CHK,Chesapeake Energy,"Oil, Gas &amp; Consumable Fuels",7.38B
CHKP,Check Point Software Technologies,Software,16.61B
CHMG,Chemung Financial,Banks,212.31M
CHMI,Cherry Hill Mortgage Investment,"Mortgage Real Estate Investment 
Trus...",145.04M
CHNG,Change Healthcare,Health Care Technology,6.23B
CHNR,China Natural Resources,Metals &amp; Mining,37.26M
CHPM,CHP Merger,Shell Companies,379.88M
CHPT,ChargePoint Holdings,Specialty Retail,4.38B
CHRA,Charah Solutions,Commercial Services &amp; Supplies,171.72M
CHRS,Coherus BioSciences,Biotechnology,966.73M
CHRW,C.H. Robinson Worldwide,Air Freight &amp; Logistics,13.65B
CHS,Chico's FAS,Specialty Retail,546.54M
CHT,Chunghwa Telecom Co.,Diversified Telecommunication Services,32.89B
CHTR,Charter Communications,Media,102.14B
CHUY,Chuy's Holdings,"Hotels, Restaurants &amp; Leisure",480.59M
CHWA,CHW Acquisition,Blank Check / SPAC,153.27M
CHWY,Chewy,Internet &amp; Direct Marketing Retail,15.90B
CHX,ChampionX,Energy Equipment &amp; Services,4.52B
CI,Cigna,Health Care Providers &amp; Services,78.30B
CIA,Citizens,Insurance,231.02M
CIAN,Cian PLC,Real Estate Services,479.15M
CIB,Bancolombia,Banks,8.43B
CIDM,Cinedigm,Entertainment,153.89M
CIEN,Ciena,Communications Equipment,10.05B
CIFR,Cipher Mining,Capital Markets,682.48M
CIG,Companhia Energetica de Minas Gerais,Electric Utilities,4.55B
CIGI,Colliers International Group,Real Estate Management &amp; Development,6.10B
CIH,China Index Holdings,Professional Services,90.42M
CIIG,CIIG Capital Partners II,Blank Check / SPAC,300.74M
CIM,Chimera Investment,"Mortgage Real Estate Investment 
Trus...",3.30B
CINC,CinCor Pharma,Biotechnology,664.65M
CINF,Cincinnati Financial,Insurance,18.44B
CING,Cingulate,Biotechnology,25.07M
CINR,Ciner Resources LP,Chemicals,324.95M
CINT,CI&amp;T Inc.,Software-Infrastructure,1.85B
CIO,City Office REIT,"Equity Real Estate 
Investment Trusts...",782.24M
CION,CĪON Investment,Asset Management,0.00
CIR,CIRCOR International,Machinery,542.91M
CISO,Cerberus Cyber Sentinel,Software-Infrastructure,535.05M
CIVB,Civista Bancshares,Banks,357.43M
CIVI,Civitas Resources,Oil &amp; Gas E&amp;P,4.25B
CIX,CompX International,Commercial Services &amp; Supplies,270.44M
CIXX,CI Financial,Asset Management,3.93B
CIZN,Citizens Holding Company,Banks,101.67M
CJJD,China Jo-Jo Drugstores,Food &amp; Staples Retailing,14.61M
CKPT,Checkpoint Therapeutics,Biotechnology,191.00M
CKX,CKX Lands,Real Estate Management &amp; Development,22.09M
CL,Colgate-Palmolive Company,Household Products,70.52B
CLAA,Colonnade Acquisition II,Blank Check / SPAC,400.54M
CLAQ,CleanTech Acquisition,Blank Check / SPAC,214.33M
CLAR,Clarus,Leisure Products,803.37M
CLAS,Class Acceleration,Blank Check / SPAC,314.71M
CLAY,Chavant Capital Acquisition,Blank Check / SPAC,98.30M
CLB,Core Laboratories,Energy Equipment &amp; Services,1.20B
CLBK,Columbia Financial,Thrifts &amp; Mortgage Finance,2.19B
CLBR,Colombier Acquisition,Blank Check / SPAC,207.00M
CLBS,Caladrius Biosciences,Biotechnology,43.59M
CLBT,Cellebrite DI,Software-Infrastructure,1.07B
CLDT,Chatham Lodging Trust,"Equity Real Estate 
Investment Trusts...",638.86M
CLDX,Celldex Therapeutics,Biotechnology,1.30B
CLEU,China Liberal Education Holdings,Education &amp; Training Services,10.99M
CLF,Cleveland-Cliffs,Metals &amp; Mining,8.49B
CLFD,Clearfield,Communications Equipment,645.38M
CLGN,CollPlant Biotechnologies,Biotechnology,109.38M
CLH,Clean Harbors,Commercial Services &amp; Supplies,5.07B
CLIM,Climate Real Impact Solutions II Acquisition,Blank Check / SPAC,294.03M
CLIR,ClearSign Technologies,"Electronic Equipment, Instruments &amp; C...",34.42M
CLLS,Cellectis,Biotechnology,317.17M
CLMT,Calumet Specialty Products Partners,"Oil, Gas &amp; Consumable Fuels",1.10B
CLNE,Clean Energy Fuels,"Oil, Gas &amp; Consumable Fuels",1.15B
CLNN,Clene,Biotechnology,157.03M
CLOE,Clover Leaf Capital,Blank Check / SPAC,163.95M
CLOV,"Clover Health Investments,",Healthcare Plans,1.20B
CLPR,Clipper Realty,"Equity Real Estate 
Investment Trusts...",145.85M
CLPS,CLPS Incorporation,IT Services,38.35M
CLPT,ClearPoint Neuro,Health Care Equipment &amp; Supplies,212.76M
CLR,Continental Resources,"Oil, Gas &amp; Consumable Fuels",17.62B
CLRB,Cellectar BioSciences,Biotechnology,32.99M
CLRM,Clarim Acquisition,Blank Check / SPAC,348.59M
CLRO,ClearOne,Communications Equipment,21.73M
CLS,Celestica,"Electronic Equipment, Instruments &amp; C...",1.34B
CLSD,Clearside Biomedical,Pharmaceuticals,112.77M
CLSK,Cleanspark,Software,265.27M
CLSN,Celsion,Biotechnology,33.78M
CLST,Catalyst Bancorp,Banks-Regional,72.95M
CLVR,Clever Leaves Holdings,Drug Manufacturers-Specialty &amp; Generic,53.54M
CLVS,Clovis Oncology,Biotechnology,259.32M
CLVT,Clarivate,Professional Services,11.25B
CLW,Clearwater Paper,Paper &amp; Forest Products,542.07M
CLWT,Euro Tech Holdings Company,Trading Companies &amp; Distributors,18.56M
CLX,The Clorox Company,Household Products,21.94B
CLXT,Calyxt,Biotechnology,71.62M
CM,Canadian Imperial Bank of Commerce,Banks,57.76B
CMA,Comerica,Banks,11.76B
CMAX,CareMax,Health Information Services,557.27M
CMBM,Cambium Networks,Communications Equipment,525.99M
CMC,Commercial Metals Company,Metals &amp; Mining,4.09B
CMCL,Caledonia Mining,Metals &amp; Mining,150.79M
CMCM,Cheetah Mobile,Software,185.87M
CMCO,Columbus McKinnon,Machinery,1.33B
CMCSA,Comcast,Media,227.21B
CMCT,CIM Commercial Trust,"Equity Real Estate 
Investment Trusts...",169.89M
CME,CME Group,Capital Markets,81.19B
CMG,Chipotle Mexican Grill,"Hotels, Restaurants &amp; Leisure",38.78B
CMI,Cummins,Machinery,31.95B
CMLS,Cumulus Media,Media,208.92M
CMMB,Chemomab Therapeutics,Biotechnology,61.45M
CMP,Compass Minerals International,Metals &amp; Mining,1.77B
CMPI,Checkmate Pharmaceuticals,Biotechnology,51.26M
CMPO,CompoSecure,Shell Companies,232.21M
CMPR,Cimpress,Commercial Services &amp; Supplies,1.87B
CMPS,COMPASS Pathways,Health Care Providers &amp; Services,658.10M
CMPX,Compass Therapeutics,Biotechnology,237.24M
CMRE,Costamare,Marine,1.50B
CMRX,Chimerix,Biotechnology,478.61M
CMS,CMS Energy,Multi-Utilities,18.47B
CMT,Core Molding Technologies,Chemicals,67.90M
CMTG,Claros Mortgage Trust,REIT-Mortgage,2.49B
CMTL,Comtech Telecommunications,Communications Equipment,540.38M
CNA,CNA Financial,Insurance,12.14B
CNC,Centene,Health Care Providers &amp; Services,45.01B
CNCE,Concert Pharmaceuticals,Biotechnology,107.79M
CND,Concord Acquisition,Blank Check / SPAC,352.52M
CNDA,Concord Acquisition II,Blank Check / SPAC,301.56M
CNDB,Concord Acquisition III,Blank Check / SPAC,356.34M
CNDT,Conduent,IT Services,1.07B
CNET,ZW Data Action Technologies,Media,26.32M
CNEY,CN Energy Group,Specialty Chemicals,37.79M
CNF,CNFinance Holdings,Thrifts &amp; Mortgage Finance,212.60M
CNFR,Conifer Holdings,Insurance,23.59M
CNHI,CNH Industrial,Machinery,21.14B
CNI,Canadian National Railway Company,Road &amp; Rail,87.30B
CNK,Cinemark Holdings,Entertainment,1.91B
CNM,Core &amp; Main,Industrial Distribution,4.00B
CNMD,CONMED,Health Care Equipment &amp; Supplies,3.64B
CNNB,Cincinnati Bancorp,Banks-Regional,42.19M
CNNE,Cannae Holdings,Diversified Financial Services,2.71B
CNO,CNO Financial Group,Insurance,3.01B
CNOB,ConnectOne Bancorp,Banks,1.38B
CNP,CenterPoint Energy,Multi-Utilities,17.19B
CNQ,Canadian Natural Resources,"Oil, Gas &amp; Consumable Fuels",60.18B
CNR,Cornerstone Building Brands,Building Products,1.79B
CNS,Cohen &amp; Steers,Capital Markets,4.05B
CNSL,Consolidated Communications Holdings,Diversified Telecommunication Services,780.01M
CNSP,CNS Pharmaceuticals,Pharmaceuticals,18.58M
CNTA,Centessa Pharmaceuticals,Biotechnology,808.21M
CNTB,Connect Biopharma Holdings,Biotechnology,281.67M
CNTG,Centogene,Biotechnology,96.12M
CNTQ,Chardan NexTech Acquisition 2,Blank Check / SPAC,134.87M
CNTX,Context Therapeutics,Pharmaceuticals,21.43M
CNTY,Century Casinos,"Hotels, Restaurants &amp; Leisure",296.15M
CNVY,Convey Holding Parent,Health Information Services,533.59M
CNX,CNX Resources,"Oil, Gas &amp; Consumable Fuels",3.09B
CNXC,Concentrix,IT Services,8.76B
CNXN,PC Connection,"Electronic Equipment, Instruments &amp; C...",1.09B
CO,Global Cord Blood,Health Care Providers &amp; Services,506.87M
COCO,The Vita Coco Company,Beverages-Non-Alcoholic,532.76M
COCP,Cocrystal Pharma,Pharmaceuticals,51.66M
CODA,Coda Octopus Group,"Electronic Equipment, Instruments &amp; C...",75.67M
CODI,Compass Diversified Holdings,Diversified Financial Services,1.69B
CODX,Co-Diagnostics,Health Care Equipment &amp; Supplies,218.41M
COE,China Online Education Group,Diversified Consumer Services,21.93M
COF,Capital One Financial,Consumer Finance,62.36B
COFS,ChoiceOne Financial Services,Banks,198.14M
COGT,Cogent Biosciences,Biotechnology,304.86M
COHN,Cohen &amp; Company,Capital Markets,25.33M
COHR,Coherent,"Electronic Equipment, Instruments &amp; C...",6.32B
COHU,"Cohu, Inc.",Semiconductors &amp; Semiconductor Equipment,1.54B
COIN,Coinbase Global,Software-Application,50.28B
COKE,Coca-Cola Consolidated,Beverages,5.40B
COLB,Columbia Banking System,Banks,2.75B
COLD,Americold Realty Trust,"Equity Real Estate 
Investment Trusts...",7.54B
COLI,Colicity,Blank Check / SPAC,419.18M
COLL,Collegium Pharmaceutical,Pharmaceuticals,612.21M
COLM,Columbia Sportswear Company,"Textiles, Apparel &amp; Luxury Goods",5.83B
COMM,CommScope Holding Company,Communications Equipment,1.81B
COMP,Compass,Software-Application,3.22B
COMS,ComSovereign Holding,Telecom Services,42.59M
CONE,CyrusOne,"Equity Real Estate 
Investment Trusts...",11.53B
CONN,Conn's,Specialty Retail,674.16M
CONX,CONX Corp.,Blank Check / SPAC,917.17M
COO,The Cooper Companies,Health Care Equipment &amp; Supplies,19.19B
COOK,Traeger,"Furnishings, Fixtures &amp; Appliances",1.12B
COOL,Corner Growth Acquisition,Blank Check / SPAC,487.64M
COOP,Mr. Cooper Group,Thrifts &amp; Mortgage Finance,3.16B
COP,ConocoPhillips,"Oil, Gas &amp; Consumable Fuels",109.10B
CORR,CorEnergy Infrastructure Trust,"Equity Real Estate 
Investment Trusts...",53.82M
CORS,Corsair Partnering,Blank Check / SPAC,260.55M
CORT,Corcept Therapeutics,Pharmaceuticals,1.98B
CORZ,Core Scientific,Shell Companies,797.98M
COST,Costco Wholesale,Food &amp; Staples Retailing,213.56B
COTY,Coty Inc.,Personal Products,6.87B
COUP,Coupa Software,Software,9.51B
COUR,Coursera,Education &amp; Training Services,2.72B
COVA,COVA Acquisition,Blank Check / SPAC,364.12M
COWN,Cowen,Capital Markets,846.45M
CP,Canadian Pacific Railway,Road &amp; Rail,69.87B
CPA,Copa Holdings,Airlines,3.41B
CPAA,Conyers Park III Acquisition,Blank Check / SPAC,433.09M
CPAC,Cementos Pacasmayo,Construction Materials,556.54M
CPAR,Catalyst Partners Acquisition,Blank Check / SPAC,431.96M
CPB,Campbell Soup Company,Food Products,13.67B
CPE,Callon Petroleum Company,"Oil, Gas &amp; Consumable Fuels",2.90B
CPF,Central Pacific Financial,Banks,811.05M
CPG,Crescent Point Energy,"Oil, Gas &amp; Consumable Fuels",3.58B
CPHC,Canterbury Park Holding,"Hotels, Restaurants &amp; Leisure",83.93M
CPHI,China Pharma Holdings,Pharmaceuticals,17.28M
CPIX,Cumberland Pharmaceuticals,Pharmaceuticals,50.31M
CPK,Chesapeake Utilities,Gas Utilities,2.35B
CPLG,CorePoint Lodging,"Equity Real Estate 
Investment Trusts...",924.89M
CPLP,Capital Product Partners,"Oil, Gas &amp; Consumable Fuels",294.41M
CPNG,Coupang,Internet Retail,31.70B
CPOP,Pop Culture Group ,Advertising Agencies,33.43M
CPRI,Capri Holdings,"Textiles, Apparel &amp; Luxury Goods",8.07B
CPRT,Copart,Commercial Services &amp; Supplies,30.05B
CPRX,Catalyst Pharmaceuticals,Biotechnology,571.27M
CPS,Cooper-Standard Holdings,Auto Components,366.50M
CPSH,CPS Technologies,"Electronic Equipment, Instruments &amp; C...",46.50M
CPSI,Computer Programs &amp; Systems,Health Care Technology,404.30M
CPSS,Consumer Portfolio Services,Consumer Finance,221.48M
CPT,Camden Property Trust,"Equity Real Estate 
Investment Trusts...",16.11B
CPTK,Crown PropTech Acquisitions,Blank Check / SPAC,339.14M
CPUH,Compute Health Acquisition,Blank Check / SPAC,1.05B
CQP,Cheniere Energy Partners LP,"Oil, Gas &amp; Consumable Fuels",21.58B
CR,Crane Co.,Machinery,5.85B
CRAI,CRA International,Professional Services,638.73M
CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,58.48M
CRBU,Caribou Biosciences,Biotechnology,617.57M
CRC,California Resources,"Oil, Gas &amp; Consumable Fuels",3.29B
CRCT,Cricut,Computer Hardware,4.26B
CRD.A,Crawford &amp; Company,Insurance Brokers,390.42M
CRD.B,Crawford &amp; Company,Insurance Brokers,390.42M
CRDF,Cardiff Oncology,Biotechnology,155.06M
CRDL,Cardiol Therapeutics,Drug Manufacturers-Specialty &amp; Generic,107.92M
CREC,Crescera Capital Acquisition,Blank Check / SPAC,263.50M
CREG,China Recycling Energy,Commercial Services &amp; Supplies,46.41M
CRESY,Cresud SACIF y A.,Real Estate Management &amp; Development,602.90M
CREX,Creative Realities,Media,17.17M
CRGY,Crescent Energy Company,Oil &amp; Gas E&amp;P,2.15B
CRH,CRH Plc,Construction Materials,40.27B
CRHC,Cohn Robbins Holdings,Shell Companies,1.02B
CRI,Carter's,"Textiles, Apparel &amp; Luxury Goods",3.86B
CRIS,Curis,Biotechnology,281.24M
CRK,Comstock Resources,"Oil, Gas &amp; Consumable Fuels",1.77B
CRKN,Crown ElectroKinetics,Specialty Chemicals,40.60M
CRL,Charles River Laboratories International,Life Sciences Tools &amp; Services,16.38B
CRM,Salesforce.com,Software,215.35B
CRMD,CorMedix,Pharmaceuticals,162.63M
CRMT,America's Car-Mart,Specialty Retail,628.11M
CRNC,Cerence,Software,2.35B
CRNT,Ceragon Networks,Communications Equipment,189.50M
CRNX,Crinetics Pharmaceuticals,Biotechnology,901.07M
CRON,Cronos Group,Pharmaceuticals,1.28B
CROX,Crocs,"Textiles, Apparel &amp; Luxury Goods",6.01B
CRS,Carpenter Technology,Metals &amp; Mining,1.40B
CRSP,CRISPR Therapeutics AG,Biotechnology,4.79B
CRSR,Corsair Gaming,"Technology Hardware, Storage &amp; Periph...",1.94B
CRT,Cross Timbers Royalty Trust,"Oil, Gas &amp; Consumable Fuels",80.64M
CRTD,Creatd,Internet Content &amp; Information,30.80M
CRTO,Criteo,Media,2.09B
CRTX,Cortexyme,Biotechnology,291.31M
CRU,Crucible Acquisition,Blank Check / SPAC,315.35M
CRUS,Cirrus Logic,Semiconductors &amp; Semiconductor Equipment,4.93B
CRVL,CorVel,Health Care Providers &amp; Services,3.15B
CRVS,Corvus Pharmaceuticals,Biotechnology,82.39M
CRWD,CrowdStrike Holdings,Software,37.78B
CRWS,Crown Crafts,"Textiles, Apparel &amp; Luxury Goods",70.73M
CRXT,Clarus Therapeutics Holdings,Drug Manufacturers-General,12.36M
CRY,CryoLife,Health Care Equipment &amp; Supplies,703.21M
CRZN,Corazon Capital V838 Monoceros,Blank Check / SPAC,247.11M
CS,Credit Suisse Group AG,Capital Markets,23.16B
CSBR,Champions Oncology,Life Sciences Tools &amp; Services,107.85M
CSCO,Cisco Systems,Communications Equipment,239.05B
CSCW,Color Star Technology Co.,Entertainment,62.65M
CSGP,CoStar Group,Professional Services,28.01B
CSGS,CSG Systems International,IT Services,1.83B
CSII,Cardiovascular Systems,Health Care Equipment &amp; Supplies,732.75M
CSIQ,Canadian Solar,Semiconductors &amp; Semiconductor Equipment,1.51B
CSL,Carlisle Companies,Industrial Conglomerates,11.90B
CSLT,Castlight Health,Health Care Technology,332.22M
CSPI,CSP Inc.,IT Services,36.91M
CSPR,Casper Sleep,Specialty Retail,262.22M
CSR,Centerspace,"Electronic Equipment, Instruments &amp; C...",1.40B
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,175.70M
CSTA,Constellation Acquisition I,Blank Check / SPAC,385.95M
CSTE,Caesarstone,Building Products,424.67M
CSTL,Castle Biosciences,Biotechnology,850.09M
CSTM,Constellium SE,Metals &amp; Mining,2.53B
CSTR,CapStar Financial Holdings,Banks,474.60M
CSV,Carriage Services,Diversified Consumer Services,867.25M
CSWC,Capital Southwest,Capital Markets,552.71M
CSWI,CSW Industrials,Building Products,1.82B
CSX,CSX Corporation,Road &amp; Rail,75.63B
CTAQ,Carney Technology Acquisition II,Blank Check / SPAC,500.86M
CTAS,Cintas,Commercial Services &amp; Supplies,39.37B
CTBI,Community Trust Bancorp,Banks,784.56M
CTEK,CynergisTek,Health Care Providers &amp; Services,16.88M
CTG,Computer Task Group,IT Services,129.95M
CTGO,Contango ORE,Metals &amp; Mining,164.14M
CTHR,Charles &amp; Colvard,"Textiles, Apparel &amp; Luxury Goods",73.91M
CTIB,Yunhong CTI,Household Durables,5.83M
CTIC,CTI BioPharma,Biotechnology,213.69M
CTK,CooTek (Cayman),Software,24.39M
CTKB,Cytek Biosciences,Medical Devices,1.90B
CTLP,Cantaloupe,Information Technology Services,545.75M
CTLT,Catalent,Pharmaceuticals,17.47B
CTMX,CytomX Therapeutics,Biotechnology,279.92M
CTO,CTO Realty Growth,Real Estate Management &amp; Development,357.79M
CTOS,Custom Truck One Source,Trading Companies &amp; Distributors,1.82B
CTRA,Coterra Energy,Oil &amp; Gas E&amp;P,15.73B
CTRE,CareTrust REIT,"Equity Real Estate 
Investment Trusts...",2.07B
CTRM,Castor Maritime,Marine,106.91M
CTRN,Citi Trends,Specialty Retail,429.60M
CTS,CTS Corporation,"Electronic Equipment, Instruments &amp; C...",1.08B
CTSH,Cognizant Technology Solutions,IT Services,44.77B
CTSO,CytoSorbents,Health Care Equipment &amp; Supplies,147.82M
CTT,CatchMark Timber Trust,"Equity Real Estate 
Investment Trusts...",405.28M
CTV,Innovid,Advertising Agencies,760.04M
CTVA,Corteva,Chemicals,33.12B
CTXR,Citius Pharmaceuticals,Pharmaceuticals,214.66M
CTXS,Citrix Systems,Software,12.61B
CUBE,CubeSmart,"Equity Real Estate 
Investment Trusts...",11.07B
CUBI,Customers Bancorp,Banks,2.01B
CUE,Cue Biopharma,Biotechnology,285.85M
CUEN,Cuentas,Diversified Telecommunication Services,16.46M
CUK,Carnival,"Hotels, Restaurants &amp; Leisure",23.12B
CULL,Cullman Bancorp,Banks,93.31M
CULP,"Culp, Inc.","Textiles, Apparel &amp; Luxury Goods",106.47M
CURI,CuriosityStream,Broadcasting,215.74M
CURO,CURO Group Holdings,Consumer Finance,570.46M
CURV,Torrid Holdings,Apparel Retail,896.15M
CUTR,Cutera,Health Care Equipment &amp; Supplies,598.32M
CUZ,Cousins Properties,"Equity Real Estate 
Investment Trusts...",5.71B
CVAC,CureVac,Biotechnology,3.50B
CVBF,CVB Financial,Banks,3.21B
CVCO,Cavco Industries,Household Durables,2.33B
CVCY,Central Valley Community Bancorp,Banks,270.81M
CVE,Cenovus Energy,"Oil, Gas &amp; Consumable Fuels",28.53B
CVEO,Civeo,Commercial Services &amp; Supplies,286.71M
CVET,Covetrus,Health Care Providers &amp; Services,2.39B
CVGI,Commercial Vehicle Group,Machinery,258.88M
CVGW,Calavo Growers,Food Products,729.57M
CVI,CVR Energy,"Oil, Gas &amp; Consumable Fuels",1.97B
CVII,Churchill Capital VII,Blank Check / SPAC,1.67B
CVLG,Covenant Logistics Group,Road &amp; Rail,368.79M
CVLT,Commvault Systems,Software,3.02B
CVLY,Codorus Valley Bancorp,Banks,208.62M
CVM,Cel-Sci,Biotechnology,243.90M
CVNA,Carvana Co.,Specialty Retail,24.09B
CVR,Chicago Rivet &amp; Machine Co.,Machinery,24.94M
CVRX,"CVRx, Inc.",Medical Devices,180.52M
CVS,CVS Health,Health Care Providers &amp; Services,134.07B
CVT,Cvent Holding,Software-Application,3.21B
CVU,CPI Aerostructures,Aerospace &amp; Defense,30.87M
CVV,CVD Equipment,Semiconductors &amp; Semiconductor Equipment,31.10M
CVX,Chevron,"Oil, Gas &amp; Consumable Fuels",244.64B
CW,Curtiss-Wright,Aerospace &amp; Defense,5.38B
CWAN,Clearwater Analytics Holdings,Software-Application,2.82B
CWBC,Community West Bancshares,Banks,115.46M
CWBR,CohBar,Biotechnology,26.97M
CWCO,Consolidated Water Co.,Water Utilities,151.19M
CWEN,Clearway Energy,Independent Power and Renewable Elect...,3.73B
CWEN.A,Clearway Energy,Independent Power and Renewable Elect...,3.73B
CWH,Camping World Holdings,Specialty Retail,1.40B
CWK,Cushman &amp; Wakefield,Real Estate Management &amp; Development,4.76B
CWST,Casella Waste Systems,Commercial Services &amp; Supplies,3.85B
CWT,California Water Service Group,Water Utilities,3.22B
CX,CEMEX,Construction Materials,8.62B
CXDO,Crexendo,IT Services,89.99M
CXM,Sprinklr,Software-Application,2.74B
